ax;ay;az;gx;gy;gz;lat;lon
-1;-1;-1;-244;-244;-61;50.0905411784011;20.001247034819894
624;1000;-2651;-122;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-244;-305;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-183;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-183;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-305;-305;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-183;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-122;50.0905411784011;20.001247034819894
624;1000;-2651;-122;-305;-61;50.0905411784011;20.001247034819894
624;1000;-2651;-61;-305;-122;50.0905411784011;20.001247034819894
624;1000;-2651;-122;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-305;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-366;-244;-122;50.0905411784011;20.001247034819894
624;1000;-2651;-61;-305;-122;50.0905411784011;20.001247034819894
624;1000;-2651;-183;-244;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-183;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;549;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-183;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-183;50.0905411784011;20.001247034819894
624;1000;-2651;-183;-244;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-183;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-305;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-61;-244;-122;50.0905411784011;20.001247034819894
624;1000;-2651;-122;-244;-122;50.09050334602944;20.001232307150143
-1;-1;-1;-122;-244;-122;50.090487438937465;20.001226327390054
-1;-1;-1;-122;-305;-122;50.090449891922354;20.001248513082707
-1;-1;-1;-61;-244;-122;50.09039846374417;20.00126749704899
624;1000;-2651;-61;-305;-122;50.09074478971427;20.00109557383298
624;1000;-2651;-5859;854;-610;50.09055113383885;20.001266530323363
-1;-1;-1;-61;-305;-61;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-122;-244;-122;50.0905411784011;20.001247034819894
-1;-1;-1;-549;-183;-122;50.0905411784011;20.001247034819894
