ax; ay; az; gx; gy; gz; lat; lon
7092; -3194; 10490; 31626; -29956; 3192; 50.08386463393444; 19.99304134087711
-16101; -753; -30250; -3192; -16574; 15813; 50.08386463393444; 19.99304134087711
-30749; -18225; -15602; -13532; 29956; 29195; 50.08386463393444; 19.99304134087711
23800; 25720; -13160; 29956; -26912; -7146; 50.08386463393444; 19.99304134087711
11975; 18014; 20256; -11099; 6236; 17335; 50.08386463393444; 19.99304134087711
16019; 31060; -20941; 5476; -6384; -11099; 50.08386463393444; 19.99304134087711
29065; 23736; 21783; -148; 7907; 761; 50.08386463393444; 19.99304134087711
-14042; 10690; -27883; 12328; -15813; -7146; 50.08386463393444; 19.99304134087711
-6717; 15648; -30782; -30104; -23720; 12621; 50.08386463393444; 19.99304134087711
-13585; 30296; 31474; -4714; 5476; 22050; 50.08386463393444; 19.99304134087711
29904; -26695; 4162; 29195; -10338; 22050; 50.08386463393444; 19.99304134087711
14035; 12824; -32459; 6996; -22198; -23720; 50.08386463393444; 19.99304134087711
5108; -20135; 8206; 29956; 27524; -16574; 50.08386463393444; 19.99304134087711
-22969; -12428; -14605; -15813; -30104; -2432; 50.08386463393444; 19.99304134087711
7092; -14870; 16751; -3954; -27064; -19006; 50.08386463393444; 19.99304134087711
1678; -19371; 26209; 7907; 23424; -11860; 50.08386463393444; 19.99304134087711
15562; 9544; -10179; 18096; -3340; 11860; 50.08386463393444; 19.99304134087711
-14955; 15797; -30018; -5476; -17484; 15052; 50.08386463393444; 19.99304134087711
-26398; -20973; 16369; -23572; -2284; 27820; 50.08386463393444; 19.99304134087711
-13352; 15266; -18957; 3340; -612; 18392; 50.08386463393444; 19.99304134087711
-28458; 18396; 6446; 2112; -28284; -3804; 50.08386463393444; 19.99304134087711
24721; -13874; -19264; 23104; -31480; 7907; 50.08386463393444; 19.99304134087711
25103; 32206; 12549; 5624; 12768; 16574; 50.08386463393444; 19.99304134087711
-32270; -12271; 15904; 16574; 31776; -15664; 50.08386463393444; 19.99304134087711
4119; 32746; 11628; 31328; -23572; 612; 50.08386463393444; 19.99304134087711
31274; 21909; -19496; 12768; -4714; 29048; 50.08386463393444; 19.99304134087711
-24646; 31218; -30400; -5328; 13532; -28284; 50.08386463393444; 19.99304134087711
30286; 22897; 9037; 22810; 13992; 30718; 50.08386463393444; 19.99304134087711
24789; -2430; -15452; 14608; -10338; -7760; 50.08386463393444; 19.99304134087711
-22661; 12069; 9950; -27820; -18244; -6384; 50.08386463393444; 19.99304134087711
21359; 6123; -20418; 14880; -7907; -9429; 50.08386463393444; 19.99304134087711
