ax; ay; az; gx; gy; gz; lat; lon
-32711; -30707; 18172; -18858; -18096; 5624; 50.08456092143831; 19.989839258610672
22295; 21401; -24096; -8667; 11860; 19006; 50.08456092143831; 19.989839258610672
15810; 24607; -15169; -14904; -5476; -32240; 50.08456092143831; 19.989839258610672
-8222; 16826; -32184; 7146; -7907; 27673; 50.08456092143831; 19.989839258610672
-16003; -30325; -2580; -14292; -3954; 18858; 50.08456092143831; 19.989839258610672
19547; -16748; -6475; -23572; -7907; 11560; 50.08456092143831; 19.989839258610672
10014; -23449; -1517; 7292; 2432; -10800; 50.0845578125874; 19.989835029852316
-26915; 9120; -17154; 8667; 21289; -11248; 50.0845578125874; 19.989835029852316
4442; 16751; -20741; 11712; 22958; 23104; 50.0845578125874; 19.989835029852316
-11660; -1560; -3726; -28584; 8667; 2284; 50.0845578125874; 19.989835029852316
-10207; 18503; 25571; 32240; -26152; -15200; 50.0845578125874; 19.989835029852316
-8297; -9955; -64; -14142; -14292; 30866; 50.0845578125874; 19.989835029852316
2532; 29647; 23204; -8520; 3044; -11712; 50.0845578125874; 19.989835029852316
-23253; -12239; -26081; -10952; 14142; -15813; 50.0845578125874; 19.989835029852316
12837; -10030; -12503; 18858; -32388; 26152; 50.0845578125874; 19.989835029852316
17180; -1485; -9755; -28136; 20527; -3192; 50.0845578125874; 19.989835029852316
15121; 23693; 20381; 19152; -761; 23572; 50.0845578125874; 19.989835029852316
-5009; -32766; -8916; 19152; 4568; 18244; 50.0845578125874; 19.989835029852316
30309; -20858; 23512; -320; 23572; 2284; 50.0845578125874; 19.989835029852316
19381; 12034; 14809; 28284; 3804; -5936; 50.0845578125874; 19.989835029852316
-23651; -28639; -7546; -23868; 17632; -30568; 50.0845578125874; 19.989835029852316
-15082; -18334; -7952; 2896; -8352; -20232; 50.0845578125874; 19.989835029852316
2473; -28789; 25729; 25408; -10912; -28752; 50.0845578125874; 19.989835029852316
-11703; 27879; 5449; -4480; 15960; -5248; 50.0845578125874; 19.989835029852316
-17838; 18617; 29284; 21952; -32240; -16256; 50.0845578125874; 19.989835029852316
-22099; 28867; -7105; 32672; -3168; 3968; 50.0845578125874; 19.989835029852316
11467; -6202; -10428; -4384; -19392; 7907; 50.0845578125874; 19.989835029852316
-16877; -29358; -29330; 4672; 28096; -30272; 50.0845578125874; 19.989835029852316
-5500; 649; 14518; -29344; 30424; 10880; 50.0845578125874; 19.989835029852316
3312; 23228; 12683; -29216; 7808; -31200; 50.0845578125874; 19.989835029852316
-29407; 27729; 26891; 15936; -23280; -7616; 50.0845578125874; 19.989835029852316
-19665; 23186; 9876; -9576; -13992; 7608; 50.0845578125874; 19.989835029852316
9805; -20335; 13230; 28480; -1504; 32576; 50.0845578125874; 19.989835029852316
12247; 10939; 31458; -15200; -23008; -7232; 50.0845578125874; 19.989835029852316
-22630; 11836; 1779; -17312; 19152; -20672; 50.0845578125874; 19.989835029852316
4690; -19587; 20937; 26016; 19152; -6384; 50.0845578125874; 19.989835029852316
-3198; 24284; 18802; 10190; -8080; -15072; 50.0845578125874; 19.989835029852316
-24540; 28402; -5927; -3216; -11860; 5624; 50.0845578125874; 19.989835029852316
3528; -31180; 31151; 9120; -4100; -22344; 50.0845578125874; 19.989835029852316
29088; -7604; 20704; -16592; 9280; -5920; 50.0845578125874; 19.989835029852316
9017; 20779; -14554; 32388; -14292; -31160; 50.0845578125874; 19.989835029852316
-18437; -363; 1630; 7312; -17936; 15392; 50.08455679161198; 19.989858162080758
