ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-4858398; 93469238; 6457519; 1129150390; 1739501953; 2673339843; -3800000000; 6400000000; 10300000000; 32930029296;1700000000; 300000000; 5500000000; 5008318020; 1999379889; 50.083187881595414; 19.993807210172907
3515625; 100292968; 5126953; -927734375; 970458984; -1501464843; -4000000000; 6400000000; 10200000000; 32799462890;1700000000; 300000000; 5500000000; 5008318759; 1999380630; 50.083187881595414; 19.993807210172907
-12561035; 98828125; -7934570; -579833984; 1354980468; -1116943359; -4100000000; 6800000000; 10800000000; 32891250610;1700000000; 300000000; 5600000000; 5008318759; 1999380630; 50.083187881595414; 19.993807210172907
-16125488; 102722167; -4785156; -909423828; 2600097656; -543212890; -4000000000; 6700000000; 10800000000; 32916220092;1700000000; 300000000; 5600000000; 5008319570; 1999381139; 50.083187881595414; 19.993807210172907
8996582; 91967773; -8349609; 354003906; -2886962890; 976562500; -4000000000; 6800000000; 11100000000; 32953442382;1700000000; 300000000; 5700000000; 5008319570; 1999381139; 50.08319905147885; 19.993819153815412
-11706542; 83056640; -4492187; -1208496093; -1623535156; -1281738281; -3900000000; 6800000000; 11200000000; 33016442871;1700000000; 300000000; 5700000000; 5008320490; 1999381660; 50.08319905147885; 19.993819153815412
-16857910; 103552246; -13586425; 1110839843; -1300048828; 341796875; -4000000000; 6400000000; 11200000000; 32839248657;1700000000; 300000000; 5800000000; 5008320490; 1999381660; 50.08319905147885; 19.993819153815412
-16772460; 102246093; -19921875; 2166748046; -2728271484; -1367187500; -4000000000; 6600000000; 11300000000; 32878158569;1700000000; 300000000; 5800000000; 5008321390; 1999382210; 50.08319905147885; 19.993819153815412
-268554; 88916015; -2917480; 335693359; 1684570312; -1794433593; -4000000000; 6300000000; 11300000000; 32758770751;1700000000; 300000000; 5900000000; 5008321390; 1999382210; 50.083218914625526; 19.9938234719214
-22009277; 83496093; -15686035; 427246093; 250244140; -708007812; -3900000000; 6300000000; 11400000000; 32824050903;1700000000; 300000000; 5900000000; 5008322130; 1999382860; 50.083218914625526; 19.9938234719214
-8996582; 118286132; -7641601; -2758789062; 2008056640; 1855468750; -3700000000; 6500000000; 11500000000; 33035012817;1700000000; 400000000; 0; 5008322130; 1999382860; 50.08322868315677; 19.9938214169398
-3479003; 82788085; 3002929; 732421875; -268554687; 640869140; -3800000000; 6500000000; 11500000000; 32968875122;1700000000; 400000000; 0; 5008323160; 1999383209; 50.08322868315677; 19.9938214169398
-14172363; 91442871; -12341308; -756835937; 311279296; -1300048828; -3700000000; 6800000000; 11500000000; 33144860839;1700000000; 400000000; 100000000; 5008323160; 1999383209; 50.08323388560589; 19.99382778281882
-13659667; 99902343; -11743164; -897216796; 1635742187; -976562500; -3600000000; 6700000000; 11500000000; 33175027465;1700000000; 400000000; 100000000; 5008323950; 1999383670; 50.08323388560589; 19.99382778281882
15075683; 89782714; -15966796; -671386718; -7641601562; 555419921; -3700000000; 7300000000; 11200000000; 33312185668;1700000000; 400000000; 200000000; 5008323950; 1999383670; 50.08324268428768; 19.993841683605506
-7568359; 81457519; 3393554; 1159667968; -4968261718; 2557373046; -3700000000; 7400000000; 11200000000; 33343493652;1700000000; 400000000; 200000000; 5008324720; 1999384130; 50.083256359675225; 19.99384570613928
-41394042; 117602539; -817871; 24414062; -3619384765; -1013183593; -3600000000; 7500000000; 11200000000; 33435900878;1700000000; 400000000; 300000000; 5008324720; 1999384130; 50.083256359675225; 19.99384570613928
