ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-13293457; 1342773; -97546386; -6103515; -36621093; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13342285; 1379394; -97570800; -6103515; -42724609; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13256835; 1391601; -97570800; 0; -36621093; -12207031; 3800000000; -900000000; 800000000; 10159217071;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13354492; 1403808; -97583007; -12207031; -30517578; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13342285; 1306152; -97607421; 0; -42724609; -12207031; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13220214; 1342773; -97607421; -18310546; -30517578; -6103515; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13281250; 1318359; -97644042; -6103515; -30517578; -12207031; 3900000000; -800000000; 800000000; 10159217071;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13330078; 1306152; -97607421; 0; -42724609; -12207031; 3800000000; -800000000; 900000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13330078; 1306152; -97570800; -18310546; -30517578; -12207031; 3900000000; -800000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13195800; 1306152; -97607421; -6103515; -36621093; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13330078; 1281738; -97619628; -12207031; -30517578; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13342285; 1342773; -97619628; -12207031; -30517578; -12207031; 3800000000; -900000000; 900000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13256835; 1306152; -97631835; -18310546; -30517578; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13293457; 1306152; -97607421; -6103515; -42724609; -12207031; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13256835; 1354980; -97583007; -6103515; -36621093; -12207031; 3800000000; -900000000; 900000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13293457; 1318359; -97644042; 0; -42724609; -12207031; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13281250; 1318359; -97570800; -6103515; -36621093; -12207031; 3900000000; -800000000; 800000000; 10159217071;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13281250; 1293945; -97607421; -12207031; -36621093; -12207031; 3800000000; -900000000; 900000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13269042; 1330566; -97607421; -12207031; -30517578; -12207031; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13293457; 1281738; -97570800; -6103515; -36621093; -12207031; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13305664; 1354980; -97570800; -6103515; -36621093; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13305664; 1293945; -97546386; -18310546; -24414062; -12207031; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13354492; 1379394; -97583007; -6103515; -36621093; -12207031; 3800000000; -800000000; 800000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13378906; 1342773; -97607421; 0; -42724609; -12207031; 3900000000; -800000000; 800000000; 10159217071;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13330078; 1391601; -97607421; 0; -42724609; -6103515; 3800000000; -800000000; 900000000; 10188865661;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
-13354492; 1281738; -97583007; -18310546; -30517578; -12207031; 3800000000; -900000000; 800000000; 10332453918;2300000000; 3200000000; 5000000000; 5009099390; 2000077120; 50.090553999271286; 20.001243060711445
