ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
-8874511; 93249511; -27551269; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8898925; 93298339; -27612304; -12207031; -30517578; -12207031; -800000000; -600000000; 3800000000; 23313009643;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8874511; 93273925; -27490234; -6103515; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8898925; 93127441; -27563476; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8947753; 93225097; -27502441; -12207031; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8947753; 93188476; -27575683; -12207031; -24414062; -12207031; -700000000; -700000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8935546; 93200683; -27600097; -12207031; -30517578; -12207031; -700000000; -700000000; 3600000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8886718; 93261718; -27587890; -6103515; -30517578; -12207031; -700000000; -700000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8935546; 93249511; -27587890; -6103515; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8935546; 93225097; -27648925; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8886718; 93286132; -27551269; -12207031; -30517578; -6103515; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8911132; 93237304; -27551269; -12207031; -30517578; -6103515; -800000000; -700000000; 3800000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8898925; 93188476; -27539062; -6103515; -30517578; -12207031; -700000000; -700000000; 3700000000; 22500000000;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
-8996582; 93249511; -27478027; -12207031; -30517578; -12207031; -800000000; -700000000; 3700000000; 22881405639;0; 0; 0; 0; 0; 50.090553999271286; 20.001243060711445
