ax; ay; az; gx; gy; gz; magx; magy; magz; magN; th; tm; ts; lati; loni; lat; lon
6628417; 13952636; 100231933; -6103515; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009040770; 2000149260; 50.090553999271286; 20.001243060711445
6689453; 14062500; 100256347; -12207031; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009040770; 2000149260; 50.090553999271286; 20.001243060711445
6530761; 14050292; 100280761; -6103515; -30517578; -18310546; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009041110; 2000148410; 50.090553999271286; 20.001243060711445
6689453; 14050292; 100256347; -12207031; -30517578; -24414062; 5800000000; 3100000000; 1100000000; 6187626266;0; 0; 0; 5009041110; 2000148410; 50.090553999271286; 20.001243060711445
6628417; 13940429; 100280761; -6103515; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009041449; 2000147459; 50.090553999271286; 20.001243060711445
6567382; 14038085; 100256347; -6103515; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009041449; 2000147459; 50.090553999271286; 20.001243060711445
6665039; 13940429; 100219726; -12207031; -30517578; -18310546; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009041810; 2000146639; 50.090553999271286; 20.001243060711445
6628417; 14025878; 100195312; -6103515; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009041810; 2000146639; 50.090553999271286; 20.001243060711445
6616210; 13916015; 100231933; -12207031; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042119; 2000145659; 50.090553999271286; 20.001243060711445
6665039; 14062500; 100183105; -18310546; -18310546; -24414062; 5800000000; 3000000000; 1200000000; 6265012359;0; 0; 0; 5009042119; 2000145659; 50.090553999271286; 20.001243060711445
6579589; 14013671; 100317382; -6103515; -30517578; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042380; 2000144700; 50.090553999271286; 20.001243060711445
6652832; 14025878; 100317382; -6103515; -30517578; -18310546; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042380; 2000144700; 50.090553999271286; 20.001243060711445
6628417; 13964843; 100268554; -18310546; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042600; 2000143800; 50.090553999271286; 20.001243060711445
6555175; 13977050; 100317382; -6103515; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042600; 2000143800; 50.090553999271286; 20.001243060711445
6567382; 13952636; 100280761; -12207031; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042860; 2000143109; 50.090553999271286; 20.001243060711445
6652832; 13940429; 100292968; -6103515; -36621093; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042860; 2000143109; 50.090553999271286; 20.001243060711445
6665039; 13977050; 100329589; -12207031; -18310546; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042940; 2000142529; 50.090553999271286; 20.001243060711445
6677246; 13916015; 100268554; -12207031; -18310546; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042940; 2000142529; 50.090553999271286; 20.001243060711445
6616210; 13903808; 100280761; -6103515; -24414062; -24414062; 5800000000; 3000000000; 1100000000; 6265012359;0; 0; 0; 5009042930; 2000141829; 50.090553999271286; 20.001243060711445
