ax; ay; az; gx; gy; gz; lat; lon
-12806; -7481; 6106; 3044; 11860; -16574; 50.08394265783542; 19.993167523180073
1917; -28615; 1680; -26152; -7907; 29956; 50.08394265783542; 19.993167523180073
-31498; -82; 28536; -15052; -3192; 9429; 50.083726783049634; 19.992990450128097
-14409; 24332; -16248; -11099; -28435; 26002; 50.083726783049634; 19.992990450128097
12447; 13345; -22352; 15813; 20527; 29195; 50.083726783049634; 19.992990450128097
16109; -18011; 3283; 24481; -20527; 28435; 50.083726783049634; 19.992990450128097
-7084; 31656; 9387; -32388; 24481; 7907; 50.083726783049634; 19.992990450128097
-13188; -27395; 6563; -21289; -24481; 32388; 50.083726783049634; 19.992990450128097
-3422; 27919; 28154; 26764; -27673; 28435; 50.083726783049634; 19.992990450128097
-27147; -1228; 28993; 17648; -11392; 17188; 50.083726783049634; 19.992990450128097
-292; -1386; 29757; -24464; -15352; 19152; 50.083726783049634; 19.992990450128097
14506; 26848; 3740; 6528; -7292; -9568; 50.083726783049634; 19.992990450128097
-29738; 6710; -19835; 28992; 7907; 30880; 50.08364220911305; 19.992910121819563
-31731; 19074; 8091; 320; -14440; -28272; 50.08364220911305; 19.992910121819563
-10132; 19082; 3358; 1696; -25072; -25984; 50.08364220911305; 19.992910121819563
28415; 8679; -17461; -25792; -32064; -26432; 50.08364220911305; 19.992910121819563
10794; 8139; -27077; -17472; 5312; 20064; 50.08364220911305; 19.992910121819563
32368; -9324; -6707; 31040; -30568; -16280; 50.08364220911305; 19.992910121819563
24347; -240; -1982; 10112; -18096; -14736; 50.08364220911305; 19.992910121819563
1477; 23760; 25422; 14464; 28032; 26176; 50.08364220911305; 19.992910121819563
24280; 19417; 6505; -32; 26784; -21088; 50.08364220911305; 19.992910121819563
-22638; -12113; 1713; 30544; -11560; -22958; 50.08361821618765; 19.992904360386184
31506; -11606; -22942; 8224; 14584; -12576; 50.08361821618765; 19.992904360386184
-2351; 27871; 23354; -21824; 3936; -1056; 50.08361821618765; 19.992904360386184
30884; -30856; 15880; 27504; -21152; -14016; 50.08361821618765; 19.992904360386184
-2252; 18535; 2976; 8080; -26912; -18096; 50.08361821618765; 19.992904360386184
21591; 24324; 6713; -27376; -31920; -14208; 50.08361821618765; 19.992904360386184
-14199; -15893; -27317; 23104; -3340; -3776; 50.08361821618765; 19.992904360386184
-18610; -29191; 28993; 12472; 31480; -1984; 50.08361821618765; 19.992904360386184
-19299; -18235; -611; -30400; -9136; -8496; 50.08361821618765; 19.992904360386184
-5040; -18610; -8999; -16574; 296; -10368; 50.08360893118514; 19.992890565644
30293; 3572; -24328; -8352; -20380; 24608; 50.08360893118514; 19.992890565644
13570; -28765; -9164; -13408; 23280; 20064; 50.08360893118514; 19.992890565644
-16925; 28474; 9272; -26592; 10656; -21152; 50.08360893118514; 19.992890565644
-22788; -19330; -11499; 5504; 22224; -16608; 50.08360893118514; 19.992890565644
-13620; -24371; 14668; -4688; -11808; 6848; 50.08360893118514; 19.992890565644
-6387; 12656; -1143; -6944; 8368; 8352; 50.08360893118514; 19.992890565644
16739; 29273; -18275; -7616; -2256; -17760; 50.08359225241403; 19.992893456548614
20925; 10447; -12952; 11408; 23520; -13248; 50.08359225241403; 19.992893456548614
-14700; 7001; 6878; 14440; -6240; -928; 50.08359225241403; 19.992893456548614
9474; -28765; -18225; -21289; 1968; 22810; 50.08359225241403; 19.992893456548614
13908; 6021; -1667; -13382; -15520; 24656; 50.08359225241403; 19.992893456548614
2914; -31596; -16481; -6976; -21752; 20352; 50.08359225241403; 19.992893456548614
16491; 25785; -26553; -21904; -9429; -6088; 50.08359225241403; 19.992893456548614
-21426; -28997; 11911; 17776; 17484; 7440; 50.08358602174102; 19.99287128605487
