ax; ay; az; gx; gy; gz; lat; lon
-4726; 23875; 4579; -2284; 15813; 3954; 50.08359157427634; 19.992919938440714
-24257; 682; -12129; -14142; -8667; 7907; 50.08359157427634; 19.992919938440714
-14873; -10761; 2519; -22050; 3954; 32388; 50.08359157427634; 19.992919938440714
16865; -21366; -21513; -17335; 11860; 29504; 50.08359157427634; 19.992919938440714
31364; 23717; 13198; 1968; 21289; -10338; 50.08359157427634; 19.992919938440714
16408; 2673; 692; 29956; -29344; 27673; 50.08359157427634; 19.992919938440714
-20602; -25926; -13740; 16832; -1816; 30544; 50.08359157427634; 19.992919938440714
-17547; 6269; -15102; 16872; -32688; -9576; 50.08359157427634; 19.992919938440714
27702; -25253; -21048; -1952; 3804; 30128; 50.08359157427634; 19.992919938440714
-1512; -23651; -14189; -3024; 1072; 19916; 50.08359157427634; 19.992919938440714
3686; -13053; -22045; 13248; 16280; 3504; 50.08359157427634; 19.992919938440714
-14790; 25096; 31276; -30592; -296; -12192; 50.08359157427634; 19.992919938440714
-13719; -21666; 10698; -3044; -22958; -21920; 50.08359157427634; 19.992919938440714
-14932; 30793; 1598; -22080; 5176; 25248; 50.08359157427634; 19.992919938440714
13758; -19181; -8542; 1408; 12768; 22032; 50.08360203378702; 19.992926204597747
20834; -3048; 6414; 23720; -11560; -2752; 50.08360203378702; 19.992926204597747
-9152; -25891; 4122; 26464; 21289; 14016; 50.08360203378702; 19.992926204597747
10163; -9549; -26388; -17040; 17484; -16112; 50.08360203378702; 19.992926204597747
-14342; 15164; -16473; 14720; 5920; 8976; 50.08360203378702; 19.992926204597747
-18535; 17853; 12584; 15392; -12328; 30256; 50.08360203378702; 19.992926204597747
-5174; -26024; 11529; 8368; 761; -1200; 50.08360203378702; 19.992926204597747
-9616; -31888; 18613; -20380; -4100; -11584; 50.08360203378702; 19.992926204597747
-6478; 16933; 25870; 10976; -19620; 20064; 50.08360203378702; 19.992926204597747
14955; 12507; -2596; 13728; 9429; -23424; 50.08360203378702; 19.992926204597747
29754; 25568; 7942; -5664; 1670; 7146; 50.08360203378702; 19.992926204597747
-32187; 21216; 28752; -14784; -14584; 10632; 50.08360203378702; 19.992926204597747
-11793; 14168; -15401; 25056; -31136; -1088; 50.08360203378702; 19.992926204597747
